LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2143200604 - SROM GUNUNG GEULIS - UTILITY,2143200604,SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,29.54,AKTIF,,,ID001471
2143200605 - HALAMAN SROM GUNUNG GEULIS - HALAMAN,2143200605,HALAMAN SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"4,576.87",AKTIF,,,ID001472
2143200701 - STO BOGOR CENTRUM - OFFICE,2143200701,STO BOGOR CENTRUM,JAWA BARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",OFFICE,KOTA BOGOR,PRIANGAN BARAT,KELAS 3,"3,658.52",AKTIF,,,ID001473
2143200702 - GUDANG BOGOR CENTRUM - GUDANG,2143200702,GUDANG BOGOR CENTRUM,JAWA BARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",GUDANG,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,223.13,AKTIF,,,ID001474
2143200703 - GEDUNG KOSONG BOGOR CENTRUM - IDLE,2143200703,GEDUNG KOSONG BOGOR CENTRUM,JAWA BARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",IDLE,KOTA BOGOR,PRIANGAN BARAT,KELAS 4,107.26,AKTIF,,,ID001475
2143200704 - STO BOGOR CENTRUM - POP ETC,2143200704,STO BOGOR CENTRUM,JAWA BARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",POP ETC,KOTA BOGOR,PRIANGAN BARAT,KELAS 3,115.26,AKTIF,,,ID001476
2143200801 - STO BOJONG GEDE - OFFICE,2143200801,STO BOJONG GEDE,JAWA BARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",OFFICE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,545.84,AKTIF,,,ID001477
2143200802 - GUDANG BOJONG GEDE - GUDANG,2143200802,GUDANG BOJONG GEDE,JAWA BARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",GUDANG,KOTA DEPOK,PRIANGAN BARAT,KELAS 5,53.08,AKTIF,,,ID001478
2143200803 - HALAMAN STO BOJONG GEDE - HALAMAN,2143200803,HALAMAN STO BOJONG GEDE,JAWA BARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",HALAMAN,KOTA DEPOK,PRIANGAN BARAT,KELAS 6,"2,079.05",AKTIF,,,ID001479
2143200901 - STO CARINGIN - OFFICE,2143200901,STO CARINGIN,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,860.33,AKTIF,,,ID001480
2143200902 - GUDANG CARINGIN - GUDANG,2143200902,GUDANG CARINGIN,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,78.00,AKTIF,,,ID001481
2143200903 - GEDUNG KOSONG CARINGIN - IDLE,2143200903,GEDUNG KOSONG CARINGIN,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,13.63,AKTIF,,,ID001482
2143200904 - HALAMAN STO CARINGIN - HALAMAN,2143200904,HALAMAN STO CARINGIN,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,997.00",AKTIF,,,ID001483
2143201001 - STO CARIU - OFFICE,2143201001,STO CARIU,JAWA BARAT,TR2,"JL. CARIU - CIANJUR, KAMP. TANGGULUN, KEL. CARIU, KEC. CARIU, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,581.01,AKTIF,,,ID001484
2143201002 - GUDANG CARIU - GUDANG,2143201002,GUDANG CARIU,JAWA BARAT,TR2,"JL. CARIU - CIANJUR, KAMP. TANGGULUN, KEL. CARIU, KEC. CARIU, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,126.00,AKTIF,,,ID001485
2143201003 - HALAMAN STO CARIU - HALAMAN,2143201003,HALAMAN STO CARIU,JAWA BARAT,TR2,"JL. CARIU - CIANJUR, KAMP. TANGGULUN, KEL. CARIU, KEC. CARIU, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"3,351.03",AKTIF,,,ID001486
