LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3243200102 - GUDANG WITEL KARAWANG - GUDANG,3243200102,GUDANG WITEL KARAWANG,JAWA BARAT,TR3,"JL. TUPAREV NO. 24, KEL. NAGASARI, KEC. KARAWANG BARAT, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,35.09,AKTIF,,,ID002102
3243200103 - WITEL KARAWANG - UTILITY,3243200103,WITEL KARAWANG,JAWA BARAT,TR3,"JL. TUPAREV NO. 24, KEL. NAGASARI, KEC. KARAWANG BARAT, KAB. KARAWANG",UTILITY,KAB. KARAWANG,KARAWANG,KELAS 5,119.01,AKTIF,,,ID002103
3243200201 - PLASA / ADMIN PURWAKARTA - OFFICE,3243200201,PLASA / ADMIN PURWAKARTA,JAWA BARAT,TR3,"JL. KK SINGAWINATA NO. 106, KEL. NAGRI KIDUL, KEC. PURWAKARTA, KAB. PURWAKARTA",OFFICE,KAB. PURWAKARTA,KARAWANG,KELAS 3,923.93,AKTIF,,,ID002104
3243200202 - GUDANG PURWAKARTA - GUDANG,3243200202,GUDANG PURWAKARTA,JAWA BARAT,TR3,"JL. KK SINGAWINATA NO. 106, KEL. NAGRI KIDUL, KEC. PURWAKARTA, KAB. PURWAKARTA",GUDANG,KAB. PURWAKARTA,KARAWANG,KELAS 5,148.31,AKTIF,,,ID002105
3243200203 - GEDUNG KOSONG ADMIN PURWAKARTA - IDLE,3243200203,GEDUNG KOSONG ADMIN PURWAKARTA,JAWA BARAT,TR3,"JL. KK SINGAWINATA NO. 106, KEL. NAGRI KIDUL, KEC. PURWAKARTA, KAB. PURWAKARTA",IDLE,KAB. PURWAKARTA,KARAWANG,KELAS 4,82.94,AKTIF,,,ID002106
3243200204 - ADMIN PURWAKARTA - UTILITY,3243200204,ADMIN PURWAKARTA,JAWA BARAT,TR3,"JL. KK SINGAWINATA NO. 106, KEL. NAGRI KIDUL, KEC. PURWAKARTA, KAB. PURWAKARTA",UTILITY,KAB. PURWAKARTA,KARAWANG,KELAS 5,91.65,AKTIF,,,ID002107
3243200603 - PLASA SUBANG - UTILITY,3243200603,PLASA SUBANG,JAWA BARAT,TR3,"JL. ADE IRMA SURYANI, SUBANG, KAB. SUBANG",UTILITY,KAB. SUBANG,KARAWANG,KELAS 5,15.04,AKTIF,,,ID002108
3243200701 - PLASA KARAWANG - OFFICE,3243200701,PLASA KARAWANG,JAWA BARAT,TR3,"JL. ALUN-ALUN TIMUR NO 1, KEL. NAGASARI, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,76.03,AKTIF,,,ID002109
3243200702 - STO KARAWANG - OFFICE,3243200702,STO KARAWANG,JAWA BARAT,TR3,"JL. ALUN-ALUN TIMUR NO 1, KEL. NAGASARI, KEC. KARAWANG BARAT, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,397.06,AKTIF,,,ID002110
3243200703 - GUDANG PLASA KARAWANG - GUDANG,3243200703,GUDANG PLASA KARAWANG,JAWA BARAT,TR3,"JL. ALUN-ALUN TIMUR NO 1, KEL. NAGASARI, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,23.95,AKTIF,,,ID002111
3243200704 - GEDUNG KOSONG PLASA KARAWANG - IDLE,3243200704,GEDUNG KOSONG PLASA KARAWANG,JAWA BARAT,TR3,"JL. ALUN-ALUN TIMUR NO 1, KEL. NAGASARI, KAB. KARAWANG",IDLE,KAB. KARAWANG,KARAWANG,KELAS 4,306.72,AKTIF,,,ID002112
3243200705 - PLASA KARAWANG - UTILITY,3243200705,PLASA KARAWANG,JAWA BARAT,TR3,"JL. ALUN-ALUN TIMUR NO 1, KEL. NAGASARI, KAB. KARAWANG",UTILITY,KAB. KARAWANG,KARAWANG,KELAS 5,69.39,AKTIF,,,ID002113
