label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3213201101 - STO HEGARMANAH - OFFICE,3213201101,STO HEGARMANAH,JAWA BARAT,BANDUNG,TR3,"JL. SETIABUDI NO. 32, GEGERKALONG, SUKASARI, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,298.82,AKTIF,,,ID001903
3213201102 - HALAMAN STO HEGARMANAH - HALAMAN,3213201102,HALAMAN STO HEGARMANAH,JAWA BARAT,BANDUNG,TR3,"JL. SETIABUDI NO. 32, GEGERKALONG, SUKASARI, BANDUNG KOTA",HALAMAN,KOTA BANDUNG,BANDUNG,KELAS 6,594.17,AKTIF,,,ID001904
3213201201 - PLASA / STO KOPO - OFFICE,3213201201,PLASA / STO KOPO,JAWA BARAT,BANDUNG,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,684.27,AKTIF,,,ID001905
3213201202 - GEDUNG KOSONG KOPO - IDLE,3213201202,GEDUNG KOSONG KOPO,JAWA BARAT,BANDUNG,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,174.82,AKTIF,,,ID001906
3213201203 - HALAMAN STO KOPO - HALAMAN,3213201203,HALAMAN STO KOPO,JAWA BARAT,BANDUNG,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",HALAMAN,KAB. BANDUNG,BANDUNG,KELAS 6,"1,374.00",AKTIF,,,ID001907
3213201301 - STO SADANG SERANG - OFFICE,3213201301,STO SADANG SERANG,JAWA BARAT,BANDUNG,TR3,"JL. SADANG SARI NO. 5, COMBLONG, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,599.24,AKTIF,,,ID001908
3213201401 - STO SUMEDANG - OFFICE,3213201401,STO SUMEDANG,JAWA BARAT,BANDUNG,TR3,"JL. R.A. KARTINI NO. 05, RT. 04/05, KEL. REGOL WETAN, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,339.68,AKTIF,,,ID001909
3213201402 - GUDANG STO SUMEDANG - GUDANG,3213201402,GUDANG STO SUMEDANG,JAWA BARAT,BANDUNG,TR3,"JL. R.A. KARTINI NO. 05, RT. 04/05, KEL. REGOL WETAN, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",GUDANG,KAB. SUMEDANG,BANDUNG,KELAS 5,62.31,AKTIF,,,ID001910
3213201501 - STO TANJUNGSARI - OFFICE,3213201501,STO TANJUNGSARI,JAWA BARAT,BANDUNG,TR3,"JL. RAYA TANJUNG SARI NO. 186, KEC. TANJUNG SARI -SUMEDANG, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,262.71,AKTIF,,,ID001911
3213201502 - GUDANG TANJUNGSARI - GUDANG,3213201502,GUDANG TANJUNGSARI,JAWA BARAT,BANDUNG,TR3,"JL. RAYA TANJUNG SARI NO. 186, KEC. TANJUNG SARI -SUMEDANG, KAB. SUMEDANG",GUDANG,KAB. SUMEDANG,BANDUNG,KELAS 5,22.06,AKTIF,,,ID001912
3213201601 - STO TEGALEGA - OFFICE,3213201601,STO TEGALEGA,JAWA BARAT,BANDUNG,TR3,"JL. MOHAMMAD TOHA NO. 220, TEGALEGA - ASTANA ANYAR, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,705.96,AKTIF,,,ID001913
3213201602 - GEDUNG KOSONG TEGALEGA - IDLE,3213201602,GEDUNG KOSONG TEGALEGA,JAWA BARAT,BANDUNG,TR3,"JL. MOHAMMAD TOHA NO. 220, TEGALEGA - ASTANA ANYAR, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,8.63,AKTIF,,,ID001914
3213201603 - HALAMAN STO TEGALEGA - HALAMAN,3213201603,HALAMAN STO TEGALEGA,JAWA BARAT,BANDUNG,TR3,"JL. MOHAMMAD TOHA NO. 220, TEGALEGA - ASTANA ANYAR, KAB. BANDUNG",HALAMAN,KAB. BANDUNG,BANDUNG,KELAS 6,816.17,AKTIF,,,ID001915
3213201701 - STO TURANGGA - OFFICE,3213201701,STO TURANGGA,JAWA BARAT,BANDUNG,TR3,"JL. MAS KUMAMBANG NO. 4, KEL. TURANGGA, KEC. LENGKONG, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,895.35,AKTIF,,,ID001916
3213201801 - STO UJUNG BERUNG - OFFICE,3213201801,STO UJUNG BERUNG,JAWA BARAT,BANDUNG,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,519.01,AKTIF,,,ID001917
3213201802 - PLASA UJUNG BERUNG - OFFICE,3213201802,PLASA UJUNG BERUNG,JAWA BARAT,BANDUNG,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,134.25,AKTIF,,,ID001918
3213201803 - GEDUNG KOSONG PLASA UJUNG BERUNG - IDLE,3213201803,GEDUNG KOSONG PLASA UJUNG BERUNG,JAWA BARAT,BANDUNG,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,12.45,AKTIF,,,ID001919
3213201804 - GEDUNG KOSONGSTO UJUNG BERUNG - IDLE,3213201804,GEDUNG KOSONGSTO UJUNG BERUNG,JAWA BARAT,BANDUNG,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,125.23,AKTIF,,,ID001920
3213201901 - TELKOM ACI GD. B - OFFICE,3213201901,TELKOM ACI GD. B,JAWA BARAT,BANDUNG,TR3,"JL. KAPTEN TENDEAN NO.1 RT.002/RW.008, KEL.HEGARMANAH, KEC.CIDADAP, KOTA BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,390.38,AKTIF,,,ID001921
